loc,isp,ip
BJ,CU,123.123.123.123
TJ,CU,202.99.104.68
HE,CU,202.99.160.68
LN,CU,202.96.69.38
SH,CU,210.22.70.3
JS,CU,221.6.4.66
ZJ,CU,221.12.1.227
FJ,CU,58.22.96.66
SD,CU,202.102.128.68
GD,CU,210.21.196.6
HI,CU,221.11.132.2
SX,CU,202.99.192.66
JL,CU,202.98.0.68
HL,CU,202.97.224.69
AH,CU,218.104.78.2
HA,CU,202.102.224.68
HB,CU,218.104.111.122
HN,CU,58.20.127.238
NM,CU,202.99.224.68
GX,CU,221.7.136.68
CQ,CU,221.5.203.98
SC,CU,124.161.87.155
GZ,CU,221.13.30.242
YN,CU,221.3.131.11
XZ,CU,221.13.65.34
SN,CU,221.11.1.67
GS,CU,221.7.34.10
QH,CU,221.207.58.58
NX,CU,221.199.12.158
XJ,CU,221.7.1.21
JX,CU,220.248.192.12
BJ,CT,219.141.136.10
TJ,CT,219.150.32.132
HE,CT,222.222.202.202
LN,CT,219.148.204.66
SH,CT,202.96.209.133
JS,CT,218.2.2.2
ZJ,CT,202.101.172.35
FJ,CT,218.85.152.99
SD,CT,219.146.1.66
GD,CT,202.96.128.86
HI,CT,202.100.192.68
SX,CT,219.149.135.188
JL,CT,219.149.194.55
HL,CT,219.147.198.230
AH,CT,61.132.163.68
HA,CT,222.88.88.88
HB,CT,202.103.24.68
HN,CT,59.51.78.211
NM,CT,219.148.162.31
GX,CT,202.103.225.68
CQ,CT,61.128.192.68
SC,CT,61.139.2.69
GZ,CT,202.98.192.67
YN,CT,222.172.200.68
XZ,CT,202.98.224.70
SN,CT,61.134.1.5
GS,CT,202.100.64.68
QH,CT,202.100.138.68
NX,CT,202.100.96.68
XJ,CT,61.128.114.167
JX,CT,202.101.224.68
BJ,CM,221.130.33.52
TJ,CM,211.137.160.50
HE,CM,211.143.60.56
LN,CM,211.137.32.178
SH,CM,211.136.112.50
JS,CM,221.130.13.133
ZJ,CM,211.140.13.188
FJ,CM,211.143.181.178
SD,CM,218.201.96.130
GD,CM,211.139.163.6
HI,CM,221.176.88.95
SX,CM,211.138.106.18
JL,CM,211.141.16.99
HL,CM,211.137.241.34
AH,CM,211.138.180.2
HA,CM,211.138.24.66
HB,CM,211.137.58.20
HN,CM,211.142.210.98
NM,CM,211.138.91.1
GX,CM,211.138.245.180
CQ,CM,218.201.4.3
SC,CM,211.137.82.4
GZ,CM,211.139.5.29
YN,CM,211.139.29.68
XZ,CM,211.139.73.34
SN,CM,211.137.130.3
GS,CM,218.203.160.194
QH,CM,211.138.75.123
NX,CM,218.203.123.116
XJ,CM,218.202.152.130
JX,CM,211.141.90.68
BJ,CE,166.111.8.28
TJ,CE,202.113.16.10
SH,CE,202.120.2.101
CQ,CE,202.202.96.33
HE,CE,202.206.1.32
SX,CE,202.207.240.225
NM,CE,210.31.176.10
LN,CE,202.118.1.29
JL,CE,202.198.16.3
HL,CE,202.118.224.101
JS,CE,202.119.32.6
ZJ,CE,210.32.32.1
AH,CE,202.38.64.1
FJ,CE,210.34.128.32
JX,CE,222.204.2.20
SD,CE,202.194.15.12
HA,CE,202.196.64.1
HB,CE,202.112.20.131
HN,CE,202.197.96.1
GD,CE,202.38.193.33
GX,CE,210.36.16.33
HI,CE,210.37.40.4
SC,CE,211.83.32.133
GZ,CE,210.40.80.33
YN,CE,202.203.160.34
XZ,CE,202.200.16.5
SN,CE,202.200.32.1
GS,CE,202.201.80.100
QH,CE,210.27.177.240
NX,CE,202.201.128.2
XJ,CE,202.201.252.1
